sid,cid,activity,protacxn,smiles,active
103298924,447682.0,Active,P19784,O=C(O)Cc1c2ccccc2n2c1[nH]c(=O)c1ccccc12,1
103281793,11414735.0,Active,P19784,COc1ccc2[nH]c3cnccc3c2c1Br,1
103759493,46905080.0,Active,P19784,C[C@H]1OC(OC2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@@H]1O,1
103759494,46905081.0,Active,P19784,C[C@H]1OC(OC2C(=O)c3c(O)cc(O)cc3O[C@H]2c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@@H]1O,1
103458021,5330391.0,Active,P19784,Clc1cccc(Nc2cncc(-c3cncc(NCCCn4cccn4)c3)n2)c1,1
103457830,5330392.0,Active,P19784,Clc1cccc(Nc2cncc(-c3cncc(NCCCn4cncn4)c3)n2)c1,1
103435765,9795307.0,Active,P19784,Oc1cc2cccc[n+]2c2c(Cl)cccc12,1
103512025,5326976.0,Active,P19784,CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103645273,135421442.0,Active,P19784,CCS(=O)(=O)Nc1ccc2[nH]c(O)c(C(=Nc3ccc(CN4CCCCC4)cc3)c3ccccc3)c2c1,1
103512013,5149739.0,Active,P19784,Brc1c(Br)c(Br)c2[nH]cnc2c1Br,1
103650627,44590795.0,Active,P19784,OCCCCn1nc2c(Br)c(Br)c(Br)c(Br)c2n1,1
103650626,44590794.0,Active,P19784,CN1CCN(CCCn2nc3c(Br)c(Br)c(Br)c(Br)c3n2)CC1,1
103650472,44590715.0,Active,P19784,OCCn1nnc2c(Br)c(Br)c(Br)c(Br)c21,1
103650545,44123807.0,Active,P19784,OCCCn1nnc2c(Br)c(Br)c(Br)c(Br)c21,1
103650547,44590746.0,Active,P19784,O=P(O)(O)OCCCn1nc2c(Br)c(Br)c(Br)c(Br)c2n1,1
103650546,44123808.0,Active,P19784,OCCCn1nc2c(Br)c(Br)c(Br)c(Br)c2n1,1
103650628,44123806.0,Active,P19784,OCCCn1cnc2c(Br)c(Br)c(Br)c(Br)c21,1
103440978,1694.0,Active,P19784,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,1
103650629,44590796.0,Active,P19784,ClCCCn1cnc2c(Br)c(Br)c(Br)c(Br)c21,1
103650550,44590749.0,Active,P19784,CN1CCN(CCCn2nnc3c(Br)c(Br)c(Br)c(Br)c32)CC1,1
103650548,44590747.0,Active,P19784,ClCCCn1nnc2c(Br)c(Br)c(Br)c(Br)c21,1
103511950,5326977.0,Active,P19784,CSc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103512052,11365120.0,Active,P19784,NC(=O)Cn1c(Br)nc2c(Br)c(Br)c(Br)c(Br)c21,1
103512009,10389037.0,Active,P19784,O=c1[nH]c2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103512015,11224695.0,Active,P19784,Nc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103512033,11191050.0,Active,P19784,CC(C)Nc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103511958,11202723.0,Active,P19784,CSc1nc2c(Br)c(Br)c(Br)c(Br)c2n1C,1
103512040,11432151.0,Active,P19784,CC(O)CNc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103512047,11466520.0,Active,P19784,CN(C)CCNc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103512070,11352337.0,Active,P19784,CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2n1C,1
103512023,11419852.0,Active,P19784,CNc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103512032,11352374.0,Active,P19784,OCCNc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103512014,42614390.0,Active,P19784,Brc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103511980,11352967.0,Active,P19784,O=C(O)CSc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103511994,11284111.0,Active,P19784,OCC(O)CSc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103512069,11236611.0,Active,P19784,Cn1c(=O)[nH]c2c(Br)c(Br)c(Br)c(Br)c21,1
103512072,11341102.0,Active,P19784,CC(C)Nc1nc2c(Br)c(Br)c(Br)c(Br)c2n1C,1
103512051,11444255.0,Active,P19784,C=CCn1c(Br)nc2c(Br)c(Br)c(Br)c(Br)c21,1
103511965,11433400.0,Active,P19784,O=[N+]([O-])c1ccc(CSc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2)cc1,1
103512001,11432846.0,Active,P19784,CCOC(=O)CSc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,1
103512049,11455295.0,Active,P19784,Cn1c(Br)nc2c(Br)c(Br)c(Br)c(Br)c21,1
103524901,16058637.0,Active,P19784,NC(=O)c1ccccc1Nc1ccnc(Nc2cccc(O)c2)n1,1
103475204,44406048.0,Active,P19784,Cc1[nH]nc2sc(C(N)=O)c(NC(=O)COc3ccccc3)c12,1
103475125,11359538.0,Active,P19784,O=C(NCc1ccccc1)c1cc2c(-c3ccccc3)[nH]nc2s1,1
103475074,44405988.0,Active,P19784,Cc1[nH]nc2sc(C(N)=O)cc12,1
103475066,44405983.0,Active,P19784,COC(=O)c1cc2c(Nc3ccccc3)[nH]nc2s1,1
103475203,44406047.0,Active,P19784,COC(=O)C(=O)Nc1c(C(N)=O)sc2[nH]nc(C)c12,1
103475091,44405999.0,Active,P19784,Cc1[nH]nc2sc(C(N)=O)c(NC(=O)c3ccccc3Cl)c12,1
103475144,44406019.0,Active,P19784,CC(=O)Nc1c(C(N)=O)sc2[nH]nc(C)c12,1
103474992,11645322.0,Active,P19784,CCCCN(C)C(=O)c1cc2c(-c3ccccc3)[nH]nc2s1,1
123092436,44259.0,Active,P19784,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
103488282,15604547.0,Active,P19784,Nc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1,1
103492078,11630874.0,Active,P19784,O=C1NC(=O)C(=Cc2ccc(-c3ccc(F)cc3O)o2)S1,1
103491101,11314340.0,Active,P19784,Cc1[nH]nc2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,1
103500903,308815.0,Active,P19784,O=C(O)c1c[nH]c2c(ccc3ccccc32)c1=O,1
103501018,693139.0,Active,P19784,O=C(O)c1c[nH]c2c(Cl)c(Cl)ccc2c1=O,1
103501081,718154.0,Active,P19784,O=C(O)c1c[nH]c2c(Cl)cc(Cl)c(Cl)c2c1=O,1
103501010,291977.0,Active,P19784,Cc1c(Cl)ccc2c(=O)c(C(=O)O)c[nH]c12,1
103612831,24811794.0,Active,P19784,CN1CCCN(c2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1,1
103567132,16760660.0,Active,P19784,O=C(O)c1ccc2c3c1cccc3c(=O)n1c3ccccc3nc21,1
103309971,3973.0,Active,P19784,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,1
103459815,11422035.0,Active,P19784,N#CC(c1ccnc(NCCc2cccnc2)n1)c1nc2ccccc2s1,1
103722924,126565.0,Active,P19784,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1
124961688,50942630.0,Active,P19784,NC(=O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,1
124971998,50941758.0,Active,P19784,O=C(O)c1ccc2c3sccc3c(=O)n(CCCO)c2c1,1
124963982,53320599.0,Active,P19784,Cc1ccccc1Nc1nc(C(=O)O)cc2sccc12,1
124969346,50942345.0,Active,P19784,O=C(O)c1ccc2c(c1)nc(NCc1ccccc1)c1ccncc12,1
124961400,50941753.0,Active,P19784,O=C(O)c1ccc2c(c1)[nH]c(=O)c1ccsc12,1
124974561,53325884.0,Active,P19784,Clc1cccc(Nc2nc(-c3nn[nH]n3)cc3sccc23)c1,1
104246358,24748573.0,Active,P19784,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,1
124958759,53317961.0,Active,P19784,c1ccc(Nc2nc(-c3nn[nH]n3)cc3sccc23)cc1,1
124961399,50942444.0,Active,P19784,O=C(O)c1ccc2c(c1)nc(Nc1ccccc1Cl)c1ccncc12,1
124966947,50942730.0,Active,P19784,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1nccnc12,1
124972002,53324596.0,Active,P19784,O=C(O)c1cc2sccc2c(Nc2ccc(Cl)cc2)n1,1
124976382,50942441.0,Active,P19784,O=C(O)c1ccc2c(c1)nc(Nc1ccc(F)c(Cl)c1)c1ccncc12,1
124956472,53316790.0,Active,P19784,Fc1cccc(Nc2nc(-c3nn[nH]n3)cc3sccc23)c1,1
124958760,53317962.0,Active,P19784,CNC(=O)c1cccc(Nc2nc(C(=O)O)cc3sccc23)c1,1
124961402,50942529.0,Active,P19784,C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cnccc23)c1,1
